fromid,toid,dist
130200,321000,929.88
130200,321100,1034.01
130200,321200,1008.85
130200,321300,792.42
130200,330100,1299.39
130200,330200,1350.61
130200,330300,1610.88
130200,330400,1223.99
130200,330500,1208.88
130200,330600,1340.25
130200,330700,1427.73
130200,330800,1435.55
130200,330900,1384.63
130200,331000,1465.3
130200,331100,1588.66
130200,340100,1074.91
130200,340200,1133.95
130200,340300,915.09
130200,340400,987.07
130200,340500,1082.64
130200,340600,834.19
130200,340700,1187.25
130200,340800,1205.33
130200,341000,1308.02
130200,341100,967.21
130200,341200,925.45
130200,341300,795.31
130200,341500,1064.55
130200,341600,884.95
130200,341700,1259.41
130200,341800,1208.57
130200,350100,1870.96
130200,350200,2047.68
130200,350300,1996.3
130200,350400,1822.87
130200,350500,1993.2
130200,350600,2095.95
130200,350700,1661.75
130200,350800,1921.96
130200,350900,1740.89
130200,360100,1504.92
130200,360200,1388.84
130200,360300,1690.14
130200,360400,1441.2
130200,360500,1604.09
130200,360600,1534.79
130200,360700,1883.01
130200,360800,1700.62
130200,360900,1556.36
130200,361000,1649.38
130200,361100,1486.1
130200,370100,461.77
130200,370200,558.13
130200,370300,431.05
130200,370400,666.39
130200,370500,348.97
130200,370600,621.23
130200,370700,491.23
130200,370800,630.85
130200,370900,533.35
130200,371000,722.91
130200,371100,613.56
130200,371300,606.79
130200,371400,390.48
130200,371500,504.02
130200,371600,326.01
130200,371700,657.94
130200,410100,858.35
130200,410200,774.26
130200,410300,1016.95
130200,410400,969.64
130200,410500,673.42
130200,410600,687.75
130200,410700,749.18
130200,410800,837.66
130200,410900,601.81
130200,411000,895.47
130200,411100,917.0
130200,411200,1099.16
130200,411300,1074.4
130200,411400,759.62
130200,411500,1064.52
130200,411600,868.33
130200,411700,1001.15
130200,420100,1249.64
130200,420200,1345.87
130200,420300,1344.4
130200,420500,1444.0
130200,420600,1189.74
130200,420700,1289.81
130200,420800,1270.46
130200,420900,1228.12
130200,421000,1386.9
130200,421100,1234.58
130200,421200,1406.7
130200,421300,1162.87
130200,430100,1586.3
130200,430200,1706.84
130200,430300,1658.78
130200,430400,1756.31
130200,430500,1855.79
130200,430600,1487.1
130200,430700,1526.66
130200,430800,1639.99
130200,430900,1601.72
130200,431000,1884.08
130200,431100,1958.18
130200,431200,1827.46
130200,431300,1718.3
130200,440100,2218.84
130200,440200,2025.24
130200,440300,2261.16
130200,440400,2373.87
130200,440500,2217.02
130200,440600,2266.95
130200,440700,2371.25
130200,440800,2601.12
130200,440900,2448.72
130200,441200,2188.81
130200,441300,2198.7
130200,441400,2041.45
130200,441500,2206.9
130200,441600,2079.25
130200,441700,2403.83
130200,441800,2093.29
130200,441900,2254.64
130200,442000,2312.48
130200,445100,2154.41
130200,445200,2159.57
130200,445300,2314.33
130200,450100,2445.93
130200,450200,2182.45
130200,450300,2060.02
130200,450400,2259.26
130200,450500,2553.41
130200,450600,2591.86
130200,450700,2486.79
130200,450800,2341.43
130200,450900,2445.84
130200,451000,2557.91
130200,451100,2132.6
130200,451200,2341.05
130200,451300,2266.74
130200,451400,2598.12
130200,460100,2782.15
130200,460200,3009.25
130200,500000,1811.99
130200,510100,1957.64
130200,510300,2048.23
130200,510400,2557.56
130200,510500,2112.45
130200,510600,1869.9
130200,510700,1805.94
130200,510800,1692.76
130200,510900,1860.44
130200,511000,2006.85
130200,511100,2157.75
130200,511300,1759.66
130200,511400,2052.86
130200,511500,2140.26
130200,511600,1838.64
130200,511700,1663.96
130200,511800,2137.64
130200,511900,1689.7
130200,512000,1959.0
130200,520100,2205.5
130200,520200,2478.99
130200,520300,2092.32
130200,520400,2332.28
130200,530100,2687.72
130200,530300,2551.42
130200,530400,2861.06
130200,530500,3055.47
130200,530600,2297.82
130200,530700,2735.5
130200,530800,3145.28
130200,530900,3080.74
130200,540100,3675.01
130200,610100,1258.28
130200,610200,1168.0
130200,610300,1383.04
130200,610400,1298.13
130200,610500,1109.56
130200,610600,1119.06
130200,610700,1486.26
130200,610800,950.8
130200,610900,1419.96
130200,611000,1305.59
130200,620100,1604.69
130200,620200,2127.61
130200,620300,1749.22
130200,620400,1493.82
130200,620500,1554.81
130200,620600,1653.46
130200,620700,1960.37
130200,620800,1480.59
130200,620900,2290.09
130200,621000,1301.36
130200,621100,1720.53
130200,621200,1638.07
130200,630100,1836.95
130200,640100,1296.57
130200,640200,1180.16
130200,640300,1257.49
130200,640400,1501.28
130200,650100,3009.75
130200,650200,3298.37
130300,110000,288.53
130300,120000,245.49
130300,130100,547.68
130300,130200,129.15
130300,130300,0.0
130300,130400,711.39
